site,date,target,ambiguous_site_label,formula_protocol_review,any_formula_difference,reported_turbidity_nonmeter_or_missing_method,formula_checked
241118180336,2025-03-01,ecoli,False,False,False,False,True
241118180336,2025-04-05,ecoli,False,False,False,False,True
241118180336,2025-05-03,ecoli,False,False,False,False,True
241118180336,2025-06-07,ecoli,False,False,False,False,True
241118180336,2026-01-03,ecoli,False,False,False,False,True
241118180336,2026-01-31,ecoli,False,False,False,False,True
241118180336,2026-03-07,ecoli,False,False,False,False,True
241118181240,2025-03-01,ecoli,False,False,False,False,True
241118181240,2025-04-05,ecoli,False,False,False,False,True
241118181240,2025-05-03,ecoli,False,False,False,False,True
241118181240,2025-06-07,ecoli,False,False,False,False,True
241118181240,2026-01-03,ecoli,False,False,False,False,True
241118181240,2026-01-31,ecoli,False,False,False,False,True
241118181240,2026-03-07,ecoli,False,False,False,False,True
241118181609,2025-03-01,ecoli,False,False,False,False,True
241118181609,2025-04-05,ecoli,False,False,False,False,True
241118181609,2025-05-03,ecoli,False,False,False,False,True
241118181609,2025-06-07,ecoli,False,False,False,False,True
241118181609,2025-07-12,ecoli,False,False,False,False,True
241118181609,2025-08-02,ecoli,False,False,False,False,True
241118181609,2025-09-13,ecoli,False,False,False,False,True
241118181609,2025-10-07,ecoli,False,False,False,False,True
241118181609,2026-01-03,ecoli,False,False,False,False,True
241118181609,2026-01-31,ecoli,False,False,False,False,True
241118181609,2026-03-07,ecoli,False,False,False,False,True
241118181741,2025-03-01,ecoli,False,False,False,False,True
241118181741,2025-04-05,ecoli,False,False,False,False,True
241118181741,2025-05-03,ecoli,False,False,False,False,True
241118181741,2025-06-07,ecoli,False,False,False,False,True
241118181741,2025-10-03,ecoli,False,False,False,False,True
241118181741,2026-01-03,ecoli,False,False,False,False,True
241118181741,2026-01-31,ecoli,False,False,False,False,True
241118181741,2026-03-07,ecoli,False,False,False,False,True
241118181852,2025-03-01,ecoli,False,False,False,False,True
241118181852,2025-04-05,ecoli,False,False,False,False,True
241118181852,2025-05-03,ecoli,False,False,False,False,True
241118181852,2025-06-07,ecoli,False,False,False,False,True
241118182046,2025-03-02,ecoli,False,False,False,False,True
241118182046,2025-04-06,ecoli,False,False,False,False,True
241118182046,2025-05-04,ecoli,False,False,False,False,True
241118182150,2025-03-02,ecoli,False,False,False,False,True
241118182150,2025-04-06,ecoli,False,False,False,False,True
241118182150,2025-05-04,ecoli,False,False,False,False,True
241118182150,2025-06-12,ecoli,False,False,False,False,True
241118182150,2025-07-12,ecoli,False,False,False,False,True
241118182150,2025-08-02,ecoli,False,False,False,False,True
241118182150,2025-09-13,ecoli,False,False,False,False,True
241118182150,2025-10-03,ecoli,False,False,False,False,True
241118182150,2026-01-04,ecoli,False,False,False,False,True
241118182150,2026-03-08,ecoli,False,False,False,False,True
241118182245,2025-03-02,ecoli,False,False,False,False,True
241118182245,2025-04-06,ecoli,False,False,False,False,True
241118182245,2025-05-04,ecoli,False,False,False,False,True
241118182245,2025-06-12,ecoli,False,False,False,False,True
241118182245,2025-10-03,ecoli,False,False,False,False,True
241118182245,2026-01-04,ecoli,False,False,False,False,True
241118182245,2026-03-08,ecoli,False,False,False,False,True
241118182407,2025-03-02,ecoli,False,False,False,False,True
241118182407,2025-04-06,ecoli,False,False,False,False,True
241118182407,2025-05-04,ecoli,False,False,False,False,True
241118182407,2025-06-12,ecoli,False,False,False,False,True
